ItemID,ItemType,ItemFatContent,ItemWeight,ItemVisibility
NCG07,Household,Low Fat,,0.091924311
NCI30,Household,Low Fat,,0.103188491
NCR54,Household,Low Fat,,0.158562708
NCT06,Household,Low Fat,,0.067824456
FDN15,Meat,Low Fat,,0.029299175
FDJ45,Seafood,Low Fat,,0.128532558
FDL13,Breakfast,Regular,,0.098606543
FDL02,Canned,Regular,,0.182236555
FDF56,Fruits and Vegetables,Regular,,0.209162936
FDQ27,Meat,Regular,,0.077480627
FDG35,Starchy Foods,Regular,,0.012327847
FDD38,Canned,reg,,0.014342659
FDE41,Frozen Foods,reg,,0.0
FDP24,Baking Goods,Low Fat,20.6,0.083004078
FDH38,Canned,Low Fat,6.425,0.01043823
FDT49,Canned,Low Fat,7.0,0.151405587
FDN02,Canned,Low Fat,16.5,0.073827748
DRF27,Dairy,Low Fat,8.93,0.028417272
FDT02,Dairy,Low Fat,12.6,0.024194731
FDF05,Frozen Foods,Low Fat,17.5,0.02687089
FDI45,Fruits and Vegetables,Low Fat,13.1,0.037581243
FDZ20,Fruits and Vegetables,Low Fat,16.1,0.034306962
NCC42,Health and Hygiene,Low Fat,15.0,0.044908404
NCQ53,Health and Hygiene,Low Fat,17.6,0.018905326
NCR54,Household,Low Fat,16.35,0.090562192
NCX06,Household,Low Fat,17.6,0.015687045
NCO06,Household,Low Fat,19.25,0.108030434
NCN54,Household,Low Fat,20.35,0.021326471
FDL27,Meat,Low Fat,6.17,0.010630949
FDV51,Meat,Low Fat,16.35,0.032538896
FDC46,Snack Foods,Low Fat,17.7,0.116542484
FDZ58,Snack Foods,Low Fat,17.85,0.052176861
FDN21,Snack Foods,Low Fat,18.6,0.076855628
FDO58,Snack Foods,Low Fat,19.6,0.039577173
DRD24,Soft Drinks,Low Fat,13.85,0.030795085
DRI37,Soft Drinks,Low Fat,15.85,0.107597879
FDI12,Baking Goods,Regular,9.395,0.10039894
FDP12,Baking Goods,Regular,9.8,0.045266806
FDO01,Breakfast,Regular,21.1,0.020718655
FDZ37,Canned,Regular,8.1,0.019768503
FDJ15,Dairy,Regular,11.35,0.023322478
FDM04,Frozen Foods,Regular,9.195,0.04712061
FDI40,Frozen Foods,Regular,11.5,0.125602951
FDX04,Frozen Foods,Regular,19.6,0.041571557
FDS15,Meat,Regular,9.195,0.078060601
FDJ57,Seafood,Regular,7.42,0.021573645
FDG21,Seafood,Regular,17.35,0.146299902
FDW21,Snack Foods,Regular,5.34,0.005963881
FDX10,Snack Foods,Regular,6.385,0.123710526
DRI51,Dairy,LF,17.25,0.0
NCZ17,Health and Hygiene,LF,12.15,0.0
DRE25,Soft Drinks,LF,15.35,0.073697713
FDT60,Baking Goods,Low Fat,12.0,0.075701524
FDN24,Baking Goods,Low Fat,14.1,0.11349714
FDO37,Breakfast,Low Fat,8.06,0.021420031
FDI14,Canned,Low Fat,14.1,0.089859642
FDW37,Canned,Low Fat,19.2,0.124301968
DRC27,Dairy,Low Fat,13.8,0.058220302
FDK16,Frozen Foods,Low Fat,9.065,0.115563679
FDK41,Frozen Foods,Low Fat,14.3,0.12780038
FDY31,Fruits and Vegetables,Low Fat,5.98,0.043651198
FDT20,Fruits and Vegetables,Low Fat,10.5,0.041479396
FDI45,Fruits and Vegetables,Low Fat,13.1,0.037657459
FDG57,Fruits and Vegetables,Low Fat,14.7,0.072444983
FDN32,Fruits and Vegetables,Low Fat,17.5,0.015591925
FDX19,Fruits and Vegetables,Low Fat,19.1,0.096929994
FDP20,Fruits and Vegetables,Low Fat,19.85,0.045761855
NCR17,Health and Hygiene,Low Fat,9.8,0.024432767
NCT17,Health and Hygiene,Low Fat,10.8,0.041950753
NCU05,Health and Hygiene,Low Fat,11.8,0.058855357
NCT42,Household,Low Fat,5.88,0.024937792
NCV18,Household,Low Fat,6.775,0.105459307
NCH43,Household,Low Fat,8.42,0.070712031
NCE18,Household,Low Fat,10.0,0.021468792
NCC18,Household,Low Fat,19.1,0.177629525
NCJ42,Household,Low Fat,19.75,0.01433033
FDQ10,Snack Foods,Low Fat,12.85,0.03324652
FDL34,Snack Foods,Low Fat,16.0,0.041028937
DRK37,Soft Drinks,Low Fat,5.0,0.0
DRF48,Soft Drinks,Low Fat,5.73,0.05190652
DRG49,Soft Drinks,Low Fat,7.81,0.067592098
FDX60,Baking Goods,Low Fat,14.35,0.081050006
FDS13,Canned,Low Fat,6.465,0.125210375
FDC50,Canned,Low Fat,15.85,0.13727
FDK51,Dairy,Low Fat,19.85,0.005264755
FDD17,Frozen Foods,Low Fat,7.5,0.032811503
FDJ28,Frozen Foods,Low Fat,12.3,0.021984639
FDP16,Frozen Foods,Low Fat,18.6,0.039517121
FDB20,Fruits and Vegetables,Low Fat,7.72,0.052274691
FDP56,Fruits and Vegetables,Low Fat,8.185,0.046747071
FDT43,Fruits and Vegetables,Low Fat,16.35,0.020664178
DRI59,Hard Drinks,Low Fat,9.5,0.041065647
DRN47,Hard Drinks,Low Fat,12.1,0.016921927
DRM23,Hard Drinks,Low Fat,16.6,0.136500981
NCN53,Health and Hygiene,Low Fat,5.175,0.030527166
NCT53,Health and Hygiene,Low Fat,5.4,0.048388423
NCQ05,Health and Hygiene,Low Fat,11.395,0.0
NCM53,Health and Hygiene,Low Fat,18.75,0.05233528
NCX42,Household,Low Fat,6.36,0.006012413
NCT18,Household,Low Fat,14.6,0.059741172
NCI30,Household,Low Fat,20.25,0.059268885
NCE54,Household,Low Fat,20.7,0.027052013
FDH19,Meat,Low Fat,19.35,0.033275634
FDT03,Meat,Low Fat,21.25,0.01005532
NCN19,Others,Low Fat,13.1,0.012167988
NCQ43,Others,Low Fat,17.75,0.111931193
FDK09,Snack Foods,Low Fat,15.2,0.092282353
FDV46,Snack Foods,Low Fat,18.2,0.012679191
FDY46,Snack Foods,Low Fat,18.6,0.048160824
FDK26,Canned,Regular,5.46,0.032242661
FDI50,Canned,Regular,8.42,0.030905215
FDB26,Canned,Regular,14.0,0.031330907
FDY49,Canned,Regular,17.2,0.012036432
FDB04,Dairy,Regular,11.35,0.063354531
FDA02,Dairy,Regular,14.0,0.029782937
FDZ28,Frozen Foods,Regular,20.0,0.051596927
FDE17,Frozen Foods,Regular,20.1,0.054565932
FDQ19,Fruits and Vegetables,Regular,7.35,0.014394261
FDM08,Fruits and Vegetables,Regular,10.1,0.053692878
FDP03,Meat,Regular,5.15,0.061301149
FDU58,Snack Foods,Regular,6.61,0.0
FDU46,Snack Foods,Regular,10.3,0.011148865
FDY34,Snack Foods,Regular,10.5,0.01100413
FDO09,Snack Foods,Regular,13.5,0.125528734
FDP48,Baking Goods,Regular,7.52,0.044272226
FDI12,Baking Goods,Regular,9.395,0.100966837
FDY12,Baking Goods,Regular,9.8,0.141406394
FDX48,Baking Goods,Regular,17.75,0.038102203
FDV60,Baking Goods,Regular,20.2,0.118025091
FDQ47,Breads,Regular,7.155,0.169137707
FDZ13,Canned,Regular,7.84,0.154363209
FDM04,Frozen Foods,Regular,9.195,0.047387144
FDS04,Frozen Foods,Regular,10.195,0.147492524
FDV28,Frozen Foods,Regular,16.1,0.0
FDU19,Fruits and Vegetables,Regular,8.77,0.047036036
FDE56,Fruits and Vegetables,Regular,17.25,0.160095901
FDI07,Meat,Regular,12.35,0.033951827
FDU15,Meat,Regular,13.65,0.0
FDU27,Meat,Regular,18.6,0.172446822
FDN39,Meat,Regular,19.35,0.065890998
FDV10,Snack Foods,Regular,7.645,0.067083367
FDO45,Snack Foods,Regular,13.15,0.038167453
FDB23,Starchy Foods,Regular,19.2,0.005620213
NCY41,Health and Hygiene,low fat,16.75,0.076164013
FDW31,Fruits and Vegetables,reg,11.35,0.043402224
FDR55,Fruits and Vegetables,reg,12.15,0.13283066
FDX10,Snack Foods,reg,6.385,0.124410284
DRF49,Soft Drinks,LF,7.27,0.071064499
FDA23,Baking Goods,Low Fat,9.8,0.047178116
FDR60,Baking Goods,Low Fat,14.3,0.130390458
FDN60,Baking Goods,Low Fat,15.1,0.095140088
FDU48,Baking Goods,Low Fat,18.85,0.055347985
FDG60,Baking Goods,Low Fat,20.35,0.060688248
FDU11,Breads,Low Fat,4.785,0.092576144
FDT49,Canned,Low Fat,7.0,0.151376958
FDS37,Canned,Low Fat,7.655,0.031938828
FDK50,Canned,Low Fat,7.96,0.028357839
FDG26,Canned,Low Fat,18.85,0.042641788
FDD14,Canned,Low Fat,20.7,0.169776346
FDK41,Frozen Foods,Low Fat,14.3,0.127517605
FDD16,Frozen Foods,Low Fat,20.5,0.036346224
FDZ44,Fruits and Vegetables,Low Fat,8.185,0.038721734
FDO44,Fruits and Vegetables,Low Fat,12.6,0.087436672
DRL11,Hard Drinks,Low Fat,10.5,0.048009081
NCU17,Health and Hygiene,Low Fat,5.32,0.092865746
NCL41,Health and Hygiene,Low Fat,12.35,0.041729735
NCS53,Health and Hygiene,Low Fat,14.5,0.089761211
NCV17,Health and Hygiene,Low Fat,18.85,0.016104504
NCO14,Household,Low Fat,9.6,0.029638267
NCU18,Household,Low Fat,15.1,0.055829496
NCI54,Household,Low Fat,15.2,0.033592687
NCQ50,Household,Low Fat,18.75,0.0
NCC18,Household,Low Fat,19.1,0.177236497
NCQ38,Others,Low Fat,16.35,0.013363902
FDL10,Snack Foods,Low Fat,8.395,0.039484739
FDE34,Snack Foods,Low Fat,9.195,0.107870997
FDL46,Snack Foods,Low Fat,20.35,0.054046706
FDH10,Snack Foods,Low Fat,21.0,0.049295686
DRE60,Soft Drinks,Low Fat,9.395,0.159304333
DRD60,Soft Drinks,Low Fat,15.7,0.03722507
FDR36,Baking Goods,Regular,6.715,0.121563385
FDL24,Baking Goods,Regular,10.3,0.024891881
FDM36,Baking Goods,Regular,11.65,0.058719726
FDD26,Canned,Regular,8.71,0.072141818
FDI02,Canned,Regular,15.7,0.11454343
FDE04,Frozen Foods,Regular,19.75,0.018019662
FDQ08,Fruits and Vegetables,Regular,15.7,0.018926773
FDV20,Fruits and Vegetables,Regular,20.2,0.059790095
FDW03,Meat,Regular,5.63,0.024536636
FDX51,Meat,Regular,9.5,0.022054553
FDR03,Meat,Regular,15.7,0.008734284
FDW21,Snack Foods,Regular,5.34,0.005962753
FDJ58,Snack Foods,Regular,15.6,0.105276162
FDR48,Baking Goods,Low Fat,11.65,0.220111117
FDO16,Frozen Foods,Low Fat,5.48,0.02528802
FDE53,Frozen Foods,Low Fat,10.895,0.044991876
FDV31,Fruits and Vegetables,Low Fat,9.8,0.178622919
FDF32,Fruits and Vegetables,Low Fat,16.35,0.113953562
DRN35,Hard Drinks,Low Fat,8.01,0.117580062
NCQ17,Health and Hygiene,Low Fat,10.3,0.195721125
NCQ41,Health and Hygiene,Low Fat,14.8,0.032606181
NCN06,Household,Low Fat,8.39,0.20168772
NCF30,Household,Low Fat,17.0,0.211306673
FDQ39,Meat,Low Fat,14.8,0.13564792
FDL45,Snack Foods,Low Fat,15.6,0.063081713
FDR10,Snack Foods,Low Fat,17.6,0.016804724
FDZ09,Snack Foods,Low Fat,17.6,0.175545889
DRJ13,Soft Drinks,Low Fat,12.65,0.105265475
DRD24,Soft Drinks,Low Fat,13.85,0.051544658
DRH25,Soft Drinks,Low Fat,18.7,0.02442574
FDC60,Baking Goods,Regular,5.425,0.191603334
FDJ36,Baking Goods,Regular,14.5,0.214681063
FDU47,Breads,Regular,12.8,0.190569038
FDA03,Dairy,Regular,18.5,0.076097035
FDY40,Frozen Foods,Regular,15.5,0.143670179
FDZ16,Frozen Foods,Regular,16.85,0.267565911
FDW07,Fruits and Vegetables,Regular,18.0,0.238831875
FDW23,Baking Goods,Low Fat,5.765,0.081944045
FDW59,Breads,Low Fat,13.15,0.020698674
DRF27,Dairy,Low Fat,8.93,0.028393624
FDB15,Dairy,Low Fat,10.895,0.136696892
FDG16,Frozen Foods,Low Fat,15.25,0.089742065
FDJ04,Frozen Foods,Low Fat,18.0,0.124348482
FDJ32,Fruits and Vegetables,Low Fat,10.695,0.057744249
FDM56,Fruits and Vegetables,Low Fat,16.7,0.070133177
FDB45,Fruits and Vegetables,Low Fat,20.85,0.021312043
DRJ23,Hard Drinks,Low Fat,18.35,0.041634206
NCN06,Household,Low Fat,8.39,0.120396991
NCF43,Household,Low Fat,8.51,0.05190268
NCG07,Household,Low Fat,12.3,0.052458358
NCB55,Household,Low Fat,15.7,0.160529322
NCN30,Household,Low Fat,16.35,0.016979063
FDF22,Snack Foods,Low Fat,6.865,0.056783389
FDQ10,Snack Foods,Low Fat,12.85,0.03315162
DRK13,Soft Drinks,Low Fat,11.8,0.11507174
DRL37,Soft Drinks,Low Fat,15.5,0.053327763
FDL38,Canned,Regular,13.8,0.014720848
FDV13,Canned,Regular,17.35,0.02758789
FDX04,Frozen Foods,Regular,19.6,0.041536962
FDF53,Frozen Foods,Regular,20.75,0.083536989
FDD21,Fruits and Vegetables,Regular,10.3,0.0
FDO20,Fruits and Vegetables,Regular,12.85,0.152001201
FDC21,Fruits and Vegetables,Regular,14.6,0.042923071
FDV19,Fruits and Vegetables,Regular,14.85,0.035227697
FDW43,Fruits and Vegetables,Regular,20.1,0.022406575
FDO46,Snack Foods,Regular,9.6,0.014200671
FDT10,Snack Foods,reg,16.7,0.061992874
FDB23,Starchy Foods,reg,19.2,0.005583951
FDN60,Baking Goods,Low Fat,15.1,0.095545715
FDU23,Breads,Low Fat,12.15,0.021811987
FDM13,Breakfast,Low Fat,6.425,0.063432676
FDB50,Canned,Low Fat,13.0,0.154244343
FDC04,Dairy,Low Fat,15.6,0.045168898
DRF03,Dairy,Low Fat,19.1,0.045492697
FDG53,Frozen Foods,Low Fat,10.0,0.046043736
FDP16,Frozen Foods,Low Fat,18.6,0.039454924
FDE08,Fruits and Vegetables,Low Fat,18.2,0.049520593
FDQ44,Fruits and Vegetables,Low Fat,20.5,0.036287517
DRJ47,Hard Drinks,Low Fat,18.25,0.044430561
NCO05,Health and Hygiene,Low Fat,7.27,0.046749112
NCB54,Health and Hygiene,Low Fat,8.76,0.050256604
NCJ29,Health and Hygiene,Low Fat,10.6,0.035336287
NCE06,Household,Low Fat,5.825,0.091857904
NCP14,Household,Low Fat,8.275,0.110739031
NCH06,Household,Low Fat,12.3,0.076866235
NCH55,Household,Low Fat,16.35,0.034813556
NCN42,Household,Low Fat,20.25,0.014280554
FDM03,Meat,Low Fat,12.65,0.123531974
FDK55,Meat,Low Fat,18.5,0.02586664
FDU39,Meat,Low Fat,18.85,0.036184755
NCO07,Others,Low Fat,9.06,0.009816092
FDF22,Snack Foods,Low Fat,6.865,0.057062186
FDI46,Snack Foods,Low Fat,9.5,0.074648119
FDD22,Snack Foods,Low Fat,10.0,0.100055625
FDZ45,Snack Foods,Low Fat,14.1,0.067148407
FDT45,Snack Foods,Low Fat,15.85,0.057546914
FDL34,Snack Foods,Low Fat,16.0,0.041112694
FDA45,Snack Foods,Low Fat,21.25,0.156012631
DRI01,Soft Drinks,Low Fat,7.97,0.0
DRJ13,Soft Drinks,Low Fat,12.65,0.063146492
FDU47,Breads,Regular,12.8,0.114318263
FDB02,Canned,Regular,9.695,0.029283081
FDM50,Canned,Regular,13.0,0.030211742
FDC14,Canned,Regular,14.5,0.0
FDH50,Canned,Regular,15.0,0.162093059
FDD52,Dairy,Regular,18.25,0.184041545
FDH04,Frozen Foods,Regular,6.115,0.011419301
FDH56,Fruits and Vegetables,Regular,9.8,0.06407717
FDX31,Fruits and Vegetables,Regular,20.35,0.014885998
FDO51,Meat,Regular,6.785,0.042153502
FDV22,Snack Foods,Regular,14.85,0.009979271
FDJ21,Snack Foods,Regular,16.7,0.038685176
FDI14,Canned,Low Fat,,0.089243504
FDU25,Canned,Low Fat,,0.026552056
FDC53,Frozen Foods,Low Fat,,0.008792907
FDD28,Frozen Foods,Low Fat,,0.053038775
FDO40,Frozen Foods,Low Fat,,0.032470108
FDT40,Frozen Foods,Low Fat,,0.095331433
FDD33,Fruits and Vegetables,Low Fat,,0.0
FDW20,Fruits and Vegetables,Low Fat,,0.024032484
DRN47,Hard Drinks,Low Fat,,0.016745264
NCY53,Health and Hygiene,Low Fat,,0.058198141
NCE19,Household,Low Fat,,0.092564193
NCE55,Household,Low Fat,,0.12929931
NCG43,Household,Low Fat,,0.073879939
NCH06,Household,Low Fat,,0.076183667
NCM30,Household,Low Fat,,0.066969525
NCN42,Household,Low Fat,,0.014153743
NCU42,Household,Low Fat,,0.019412192
NCJ19,Others,Low Fat,,0.117607719
FDD46,Snack Foods,Low Fat,,0.140571971
FDL33,Snack Foods,Low Fat,,0.099478451
FDP09,Snack Foods,Low Fat,,0.033725743
DRL37,Soft Drinks,Low Fat,,0.053113721
FDE36,Baking Goods,Regular,,0.0
FDG12,Baking Goods,Regular,,0.006295472
FDU24,Baking Goods,Regular,,0.139484292
FDK25,Breakfast,Regular,,0.156072361
FDB14,Canned,Regular,,0.102226474
FDH50,Canned,Regular,,0.160653682
FDZ02,Dairy,Regular,,0.037962696
FDH05,Frozen Foods,Regular,,0.090473389
FDT19,Fruits and Vegetables,Regular,,0.144338493
FDW19,Fruits and Vegetables,Regular,,0.038313981
FDR51,Meat,Regular,,0.172629683
FDY34,Snack Foods,Regular,,0.010928678
FDP49,Breakfast,Regular,9.0,0.069196376
FDG35,Starchy Foods,Regular,21.2,0.00704098
FDS52,Frozen Foods,Low Fat,,0.009585169
FDR21,Snack Foods,Low Fat,19.7,0.066935459
FDQ36,Baking Goods,Regular,7.855,0.0
FDE20,Fruits and Vegetables,Regular,11.35,0.005530516
FDO20,Fruits and Vegetables,Regular,12.85,0.0
FDZ20,Fruits and Vegetables,Low Fat,16.1,0.034376537
FDK38,Canned,Low Fat,6.65,0.053279839
NCN53,Health and Hygiene,Low Fat,5.175,0.050808821
FDN04,Frozen Foods,Regular,11.8,0.014075334
NCP42,Household,Low Fat,8.51,0.016176344
FDY11,Baking Goods,reg,6.71,0.029680868
FDW28,Frozen Foods,Low Fat,,0.088394115
NCL53,Health and Hygiene,Low Fat,,0.0
FDW57,Snack Foods,Regular,8.31,0.115857223
NCN07,Others,Low Fat,18.5,0.056816465
FDP28,Frozen Foods,Regular,13.65,0.134975628
FDR52,Frozen Foods,Regular,12.65,0.076354362
FDY56,Fruits and Vegetables,Regular,16.35,0.062411404
FDR36,Baking Goods,Regular,6.715,0.121485195
FDY22,Snack Foods,Regular,16.5,0.160624116
FDD36,Baking Goods,Low Fat,,0.021170542
FDP19,Fruits and Vegetables,Low Fat,11.5,0.0
FDF20,Fruits and Vegetables,Low Fat,12.85,0.033271818
NCB31,Household,Low Fat,6.235,0.118858866
DRE12,Soft Drinks,Low Fat,4.59,0.070890602
DRK01,Soft Drinks,Low Fat,7.63,0.061159246
FDE20,Fruits and Vegetables,Regular,11.35,0.005539114
FDJ34,Snack Foods,Regular,11.8,0.093801337
FDH41,Frozen Foods,LF,,0.143591586
FDQ12,Baking Goods,Low Fat,,0.061999648
FDZ27,Dairy,Low Fat,,0.0
FDI22,Snack Foods,Low Fat,,0.168455549
FDW02,Dairy,Regular,,0.066006824
FDR15,Meat,Regular,,0.058545606
FDN34,Snack Foods,Regular,,0.080127283
NCV41,Health and Hygiene,Low Fat,14.35,0.017038777
NCM19,Others,Low Fat,12.65,0.047237246
FDP31,Fruits and Vegetables,Regular,21.1,0.161504957
FDQ45,Snack Foods,Regular,9.5,0.010917052
FDO21,Snack Foods,Regular,11.6,0.009763021
FDQ24,Baking Goods,Low Fat,15.7,0.073816097
FDD14,Canned,Low Fat,20.7,0.170152831
NCC54,Health and Hygiene,Low Fat,17.75,0.097909084
FDZ40,Frozen Foods,Low Fat,8.935,0.040410039
NCM07,Others,Low Fat,9.395,0.040187877
NCP50,Others,Low Fat,17.35,0.020676141
NCJ31,Others,Low Fat,19.2,0.183686937
FDF46,Snack Foods,Low Fat,7.07,0.094201018
FDJ36,Baking Goods,Regular,14.5,0.128520186
FDZ13,Canned,Regular,7.84,0.153806271
FDZ32,Fruits and Vegetables,Regular,7.785,0.038210084
FDY40,Frozen Foods,Regular,15.5,0.086320509
NCM06,Household,LF,7.475,0.075713578
FDK24,Baking Goods,Low Fat,9.195,0.101275792
NCL05,Health and Hygiene,Low Fat,19.6,0.047888606
NCA29,Household,Low Fat,10.5,0.027271252
NCP30,Household,Low Fat,20.5,0.032762495
FDX58,Snack Foods,LF,13.15,0.073251428
FDW24,Baking Goods,Low Fat,6.8,0.062762374
FDH48,Baking Goods,Low Fat,13.5,0.101231721
FDF20,Fruits and Vegetables,Low Fat,12.85,0.055603753
FDE22,Snack Foods,Low Fat,9.695,0.049498821
FDK55,Meat,Low Fat,18.5,0.025740259
FDR11,Breads,Regular,10.5,0.142419608
DRC01,Soft Drinks,Regular,5.92,0.019184026
FDE11,Starchy Foods,Regular,17.7,0.13498355
FDW50,Dairy,Low Fat,13.1,0.075885921
DRJ39,Dairy,Low Fat,20.25,0.036474041
FDJ46,Snack Foods,Low Fat,11.1,0.04500603
DRD24,Soft Drinks,Low Fat,13.85,0.030920531
FDR20,Fruits and Vegetables,Regular,20.0,0.028238317
FDS33,Snack Foods,Regular,6.67,0.0
FDK32,Fruits and Vegetables,Regular,,0.048738407
FDO03,Meat,Regular,,0.03670437
FDC59,Starchy Foods,Regular,,0.05436436
FDS12,Baking Goods,Low Fat,9.1,0.175103435
FDR21,Snack Foods,Low Fat,19.7,0.066922802
FDT44,Fruits and Vegetables,Low Fat,16.6,0.103195401
FDZ47,Baking Goods,Regular,,0.078912473
FDD08,Fruits and Vegetables,Low Fat,8.3,0.03532494
FDK02,Canned,Low Fat,12.5,0.112859454
FDR39,Meat,LF,20.35,0.083929569
DRI03,Dairy,Low Fat,6.03,0.0
FDJ52,Frozen Foods,Low Fat,7.145,0.017814518
NCD42,Health and Hygiene,Low Fat,16.5,0.012657494
FDY35,Breads,Regular,17.6,0.0160526
FDL13,Breakfast,Regular,13.85,0.056406129
FDD38,Canned,Regular,16.75,0.008204465
FDT26,Dairy,Regular,18.85,0.068059156
FDE28,Frozen Foods,Regular,9.5,0.0
FDO46,Snack Foods,Regular,9.6,0.014234595
FDP45,Snack Foods,Regular,15.7,0.030672457
DRH51,Dairy,Low Fat,,0.170213676
FDQ10,Snack Foods,Low Fat,,0.058092551
FDH52,Frozen Foods,Regular,,0.076868664
FDC10,Snack Foods,Regular,,0.127599399
FDY27,Dairy,LF,6.38,0.031898175
